13008,12999
17102,17097
30989,30983
34211,34205
34324,34315
38402,38396
42681,42671
55220,55213
57703,57693
59087,59083
62257,62250
67056,67051
68832,68824
71495,71491
77201,77193
77784,77776
81251,81244
90349,90345
107682,107680
117967,117957
126952,126950
147840,147832
152293,152283
169642,169638
171383,171380
171700,171694
174362,174353
182089,182088
190355,190348
194817,194807
197124,197117
197124,197119
215939,215938
219413,219411
226531,226529
229375,229373
233166,233158
240050,240048
251911,251908
266475,266471
269302,269300
286840,286833
294163,294153
300001,299996
306078,306074
306449,306448
307574,307571
310097,310087
323036,323035
323953,323944
330985,330982
345740,345732
346628,346627
351731,351726
354504,354500
359290,359285
366277,366273
371089,371085
378178,378177
396657,396647
405527,405524
407240,407238
409474,409468
411712,411709
419781,419773
429012,429010
431071,431066
440011,440006
447699,447690
451047,451045
455603,455597
459025,459024
459706,459698
470962,470952
475515,475507
475515,475508
495794,495790
499644,499642
500001,499993
507940,507937
510020,510013
513345,513338
523172,523164
527896,527894
536515,536514
557777,557768
562743,562736
565795,565790
573316,573314
586001,585994
591845,591837
597111,597107
609140,609133
610128,610120
619602,619594
619618,619616
632756,632750
632756,632754
634916,634907
641585,641578
648137,648135
654011,654009
655398,655393
655464,655454
657741,657731
660944,660936
662223,662217
666910,666904
666910,666905
708391,708386
719777,719771
719777,719776
726943,726939
727381,727380
743633,743628
754125,754122
755988,755982
760520,760512
766217,766216
767188,767183
768404,768394
770872,770863
773019,773015
777398,777393
794259,794258
797244,797243
797839,797833
806976,806967
811783,811782
821777,821774
832518,832510
834383,834380
834383,834382
839329,839320
852854,852845
857293,857290
859908,859907
871705,871698
873618,873612
875360,875354
875941,875933
877516,877513
877586,877581
883100,883090
883114,883111
885684,885675
886364,886363
887188,887180
889208,889199
891436,891430
893587,893584
894244,894241
895516,895507
900446,900442
901480,901477
904012,904011
917252,917244
925008,925005
927018,927017
927963,927953
927963,927962
942475,942470
957209,957207
967119,967109
967119,967110
967119,967114
973223,973213
973223,973216
977796,977793
978958,978955
998927,998924
999062,999061
1002019,1002015
1002300,1002291
1003383,1003381
1004359,1004354
1015154,1015145
1017942,1017932
1023183,1023180
1027755,1027753
1029945,1029938
1030455,1030446
1033198,1033188
1033198,1033197
1034178,1034172
1034178,1034174
1034178,1034176
1041878,1041869
1046504,1046501
1058729,1058719
1058729,1058726
1064004,1064003
1065164,1065159
1065500,1065496
1105336,1105334
1105381,1105374
1113979,1113975
1119018,1119009
1119595,1119593
1120014,1120009
1134557,1134554
1142065,1142058
1148748,1148740
1152266,1152258
1155031,1155025
1158923,1158915
1167959,1167950
1200508,1200505
1200508,1200506
1208419,1208417
1216813,1216807
1242386,1242376
1251653,1251646
1256272,1256270
1268685,1268679
1273291,1273281
1273291,1273285
1278412,1278404
1290678,1290673
1290678,1290674
1291930,1291920
1294956,1294953
1298140,1298138
1299547,1299544
1310802,1310798
1312033,1312028
1323612,1323602
1323612,1323605
1326375,1326368
1328865,1328857
1329965,1329960
1333139,1333130
1338639,1338636
1343548,1343546
1352042,1352034
1352042,1352035
1355266,1355265
1358847,1358841
1366743,1366734
1368826,1368819
1369807,1369804
1372362,1372352
1374345,1374338
1388376,1388372
1406390,1406388
1406813,1406810
1421497,1421487
1431974,1431973
1457158,1457148
1461307,1461299
1461307,1461301
1463308,1463303
1469717,1469711
1486042,1486041
1493065,1493057
1500474,1500469
1504059,1504051
1505516,1505512
1506554,1506545
1509643,1509634
1513739,1513736
1515670,1515661
1516062,1516057
1516402,1516393
1517175,1517172
1517310,1517301
1521058,1521054
1521058,1521057
1522511,1522507
1523834,1523832
1524081,1524073
1524081,1524076
1543082,1543072
1544793,1544783
1549431,1549428
1556597,1556589
1568035,1568033
1573138,1573132
1577447,1577438
1590522,1590521
1591967,1591966
1602301,1602296
1612076,1612066
1612076,1612069
1615237,1615235
1617847,1617843
1619589,1619585
1619634,1619632
1626397,1626393
1630661,1630656
1631213,1631210
1650190,1650185
1651619,1651611
1658284,1658282
1664220,1664210
1667932,1667923
1670694,1670692
1671140,1671137
1683712,1683703
1686509,1686505
1688682,1688679
1689788,1689786
1690214,1690211
1691009,1690999
1691009,1691002
1691009,1691006
1699914,1699912
1701954,1701953
1711768,1711764
1720519,1720516
1726814,1726810
1727973,1727965
1730279,1730272
1742772,1742770
1748557,1748550
1748960,1748957
1758819,1758816
1759021,1759017
1765433,1765425
1768024,1768022
1788983,1788977
1796355,1796347
1798443,1798435
1821017,1821008
1823840,1823839
1828181,1828178
1834155,1834147
1835548,1835539
1835548,1835545
1835781,1835776
1836222,1836214
1847818,1847817
1850178,1850175
1863191,1863185
1864284,1864275
1879564,1879555
1879564,1879556
1880563,1880557
1883058,1883051
1883058,1883057
1914952,1914950
1920135,1920126
1925734,1925730
1925764,1925760
1935606,1935597
1939273,1939271
1947708,1947699
1949739,1949738
1953564,1953556
1967043,1967037
1967254,1967253
1973043,1973038
1973043,1973040
1979455,1979445
1979455,1979450
1980822,1980816
1985311,1985301
1985824,1985819
1986632,1986628
1989705,1989697
1989705,1989698
1991559,1991554
1993636,1993632
